deal_id,company,contact_name,stage,deal_value,probability_pct,sales_rep,created_date,expected_close_date,lead_source,industry,days_in_stage,weighted_value
DEAL-5121,Company_61,Contact_28,Proposal,31672.69,93,Rep_2,2024-04-11,2024-10-03,Cold Call,Logistics,81,29455.6
DEAL-5122,Company_184,Contact_211,Negotiation,471011.24,10,Rep_11,2024-03-07,2024-03-10,Event,Finance,1,47101.12
DEAL-5123,Company_188,Contact_211,Closed Lost,166894.6,93,Rep_13,2024-04-28,2025-03-31,Partner,Manufacturing,79,155211.98
DEAL-5124,Company_52,Contact_278,Negotiation,370741.17,82,Rep_2,2024-03-04,2024-05-06,Partner,Retail,63,304007.76
DEAL-5125,Company_118,Contact_208,Closed Lost,168364.73,85,Rep_14,2024-08-07,2024-10-15,Email Campaign,Retail,77,143110.02
DEAL-5126,Company_108,Contact_109,Lead,476884.19,9,Rep_8,2024-02-22,2025-05-17,Event,Technology,8,42919.58
DEAL-5127,Company_192,Contact_201,Closed Won,23054.64,58,Rep_10,2024-03-16,2025-06-27,Website,Logistics,4,13371.69
DEAL-5128,Company_189,Contact_239,Opportunity,179892.84,40,Rep_1,2024-09-13,2024-06-21,Website,Retail,30,71957.14
DEAL-5129,Company_70,Contact_155,Negotiation,434393.22,92,Rep_10,2024-01-16,2024-08-31,Event,Manufacturing,76,399641.76
DEAL-5130,Company_6,Contact_238,Lead,140657.99,75,Rep_7,2024-06-10,2024-12-01,Event,Manufacturing,45,105493.49
DEAL-5131,Company_1,Contact_290,Proposal,141431.64,66,Rep_6,2024-09-10,2025-02-04,Referral,Technology,65,93344.88
DEAL-5132,Company_1,Contact_226,Lead,449882.15,7,Rep_12,2024-06-12,2024-06-30,Email Campaign,Logistics,22,31491.75
DEAL-5133,Company_156,Contact_151,Negotiation,416138.22,88,Rep_4,2024-01-08,2024-11-23,Referral,Retail,30,366201.63
DEAL-5134,Company_148,Contact_148,MQL,57356.74,51,Rep_1,2024-02-27,2025-04-11,Website,Finance,79,29251.94
DEAL-5135,Company_165,Contact_251,MQL,292189.06,20,Rep_8,2024-12-21,2025-03-07,Cold Call,Retail,44,58437.81
DEAL-5136,Company_28,Contact_261,Lead,115580.62,88,Rep_12,2024-10-09,2025-04-05,Cold Call,Retail,70,101710.95
DEAL-5137,Company_12,Contact_79,SQL,111493.44,90,Rep_3,2024-05-08,2025-05-07,Event,Retail,57,100344.1
DEAL-5138,Company_34,Contact_3,Closed Lost,309624.97,52,Rep_15,2024-11-15,2025-04-24,Partner,Finance,16,161004.98
DEAL-5139,Company_125,Contact_242,Closed Lost,66313.75,67,Rep_11,2024-01-03,2024-11-05,Partner,Logistics,84,44430.21
DEAL-5140,Company_2,Contact_71,Lead,237540.61,62,Rep_15,2024-01-18,2025-06-18,Website,Finance,85,147275.18
DEAL-5141,Company_132,Contact_298,Closed Lost,131631.76,33,Rep_8,2024-11-19,2024-10-27,Partner,Healthcare,70,43438.48
DEAL-5142,Company_177,Contact_11,Proposal,427691.62,76,Rep_2,2024-09-03,2025-02-09,Email Campaign,Logistics,42,325045.63
DEAL-5143,Company_30,Contact_273,SQL,279474.65,99,Rep_3,2024-08-07,2025-06-03,Referral,Technology,39,276679.9
DEAL-5144,Company_148,Contact_203,Closed Lost,111478.87,93,Rep_8,2024-05-06,2024-03-22,Email Campaign,Healthcare,27,103675.35
DEAL-5145,Company_110,Contact_91,MQL,463600.5,70,Rep_9,2024-10-26,2025-05-29,Website,Healthcare,58,324520.35
DEAL-5146,Company_188,Contact_11,MQL,412333.78,39,Rep_12,2024-08-10,2025-04-05,Cold Call,Manufacturing,28,160810.17
DEAL-5147,Company_49,Contact_254,MQL,136319.65,91,Rep_12,2024-06-08,2025-06-29,Event,Manufacturing,17,124050.88
DEAL-5148,Company_46,Contact_36,MQL,480720.2,93,Rep_12,2024-05-19,2025-03-12,Partner,Manufacturing,6,447069.79
DEAL-5149,Company_4,Contact_29,Opportunity,137530.76,5,Rep_9,2024-05-09,2024-05-16,Referral,Healthcare,38,6876.54
DEAL-5150,Company_141,Contact_237,MQL,149858.35,37,Rep_1,2024-07-29,2024-07-26,Referral,Healthcare,73,55447.59
DEAL-5151,Company_173,Contact_203,MQL,196051.86,57,Rep_8,2024-08-27,2024-03-02,Email Campaign,Technology,71,111749.56
DEAL-5152,Company_4,Contact_39,SQL,86578.58,59,Rep_13,2024-10-21,2024-12-22,Website,Manufacturing,76,51081.36
DEAL-5153,Company_98,Contact_103,Negotiation,345072.99,72,Rep_13,2024-05-28,2024-09-29,Partner,Finance,54,248452.55
DEAL-5154,Company_145,Contact_200,Closed Won,280881.98,53,Rep_13,2024-04-02,2024-10-18,Referral,Healthcare,78,148867.45
DEAL-5155,Company_156,Contact_197,Lead,447758.93,6,Rep_1,2024-07-22,2025-02-21,Referral,Manufacturing,70,26865.54
DEAL-5156,Company_186,Contact_109,Negotiation,124233.24,20,Rep_7,2024-08-01,2025-04-04,Referral,Manufacturing,72,24846.65
DEAL-5157,Company_144,Contact_124,Lead,89264.29,77,Rep_10,2024-04-11,2024-04-05,Cold Call,Technology,46,68733.5
DEAL-5158,Company_184,Contact_24,Closed Lost,182518.58,70,Rep_4,2024-01-27,2025-05-21,Event,Manufacturing,8,127763.01
DEAL-5159,Company_198,Contact_3,SQL,77323.8,66,Rep_7,2024-05-01,2024-08-29,Partner,Healthcare,34,51033.71
DEAL-5160,Company_185,Contact_290,Closed Won,473344.76,46,Rep_2,2024-01-26,2025-03-02,Event,Healthcare,76,217738.59
DEAL-5161,Company_88,Contact_70,Closed Won,360136.11,31,Rep_3,2024-01-31,2024-12-09,Email Campaign,Technology,67,111642.19
DEAL-5162,Company_81,Contact_278,SQL,399114.87,34,Rep_1,2024-12-19,2024-10-03,Referral,Manufacturing,2,135699.06
DEAL-5163,Company_86,Contact_13,SQL,375281.59,70,Rep_15,2024-10-12,2024-06-12,Partner,Healthcare,9,262697.11
DEAL-5164,Company_190,Contact_296,SQL,125195.49,52,Rep_13,2024-01-13,2024-06-01,Partner,Technology,59,65101.65
DEAL-5165,Company_57,Contact_128,Opportunity,74625.04,17,Rep_7,2024-05-07,2025-02-20,Email Campaign,Technology,88,12686.26
DEAL-5166,Company_150,Contact_242,Opportunity,217569.62,42,Rep_1,2024-04-03,2024-08-04,Event,Manufacturing,66,91379.24
DEAL-5167,Company_125,Contact_252,Negotiation,415364.47,83,Rep_6,2024-12-22,2024-06-20,Referral,Technology,85,344752.51
DEAL-5168,Company_13,Contact_106,Opportunity,168605.09,61,Rep_7,2024-06-09,2024-03-03,Cold Call,Retail,6,102849.1
DEAL-5169,Company_97,Contact_221,Closed Won,9733.66,87,Rep_3,2024-04-05,2025-04-14,Event,Manufacturing,79,8468.28
DEAL-5170,Company_39,Contact_100,Opportunity,331730.05,53,Rep_10,2024-08-20,2024-09-09,Cold Call,Logistics,12,175816.93
DEAL-5171,Company_146,Contact_236,SQL,104031.22,51,Rep_15,2024-06-22,2024-08-17,Event,Technology,79,53055.92
DEAL-5172,Company_90,Contact_287,SQL,273703.41,95,Rep_13,2024-03-09,2024-08-29,Partner,Finance,87,260018.24
DEAL-5173,Company_71,Contact_242,Negotiation,12365.62,53,Rep_13,2024-04-21,2024-12-17,Partner,Technology,46,6553.78
DEAL-5174,Company_14,Contact_218,MQL,256880.68,17,Rep_13,2024-02-16,2024-10-21,Referral,Logistics,48,43669.72
DEAL-5175,Company_27,Contact_112,SQL,199836.2,43,Rep_2,2024-09-10,2024-11-21,Cold Call,Retail,45,85929.57
DEAL-5176,Company_153,Contact_33,SQL,440803.93,66,Rep_9,2024-12-21,2024-07-14,Cold Call,Logistics,50,290930.59
DEAL-5177,Company_172,Contact_152,Negotiation,362297.83,37,Rep_9,2024-10-22,2024-07-23,Email Campaign,Technology,73,134050.2
DEAL-5178,Company_58,Contact_39,MQL,22833.94,43,Rep_2,2024-05-17,2025-04-25,Event,Manufacturing,26,9818.59
DEAL-5179,Company_165,Contact_153,Opportunity,395813.59,87,Rep_3,2024-06-27,2024-09-30,Referral,Technology,26,344357.82
DEAL-5180,Company_110,Contact_260,Negotiation,396657.59,46,Rep_9,2024-01-23,2025-06-17,Referral,Technology,87,182462.49
DEAL-5181,Company_70,Contact_34,Closed Lost,333387.73,33,Rep_11,2024-05-14,2025-04-16,Referral,Healthcare,76,110017.95
DEAL-5182,Company_90,Contact_270,Opportunity,465001.88,15,Rep_4,2024-01-12,2025-02-10,Event,Healthcare,49,69750.28
DEAL-5183,Company_138,Contact_179,Closed Lost,402610.5,43,Rep_8,2024-09-29,2024-11-23,Partner,Healthcare,18,173122.52
DEAL-5184,Company_181,Contact_15,Proposal,113354.84,77,Rep_2,2024-11-28,2025-04-12,Website,Technology,86,87283.23
DEAL-5185,Company_98,Contact_216,Closed Won,193865.21,33,Rep_2,2024-03-11,2024-03-28,Partner,Retail,79,63975.52
DEAL-5186,Company_69,Contact_1,MQL,178212.0,49,Rep_9,2024-09-03,2024-10-30,Website,Healthcare,30,87323.88
DEAL-5187,Company_152,Contact_183,Closed Lost,254929.37,67,Rep_9,2024-08-07,2025-02-11,Email Campaign,Logistics,49,170802.68
DEAL-5188,Company_105,Contact_152,SQL,477088.24,93,Rep_12,2024-06-01,2024-04-22,Website,Manufacturing,38,443692.06
DEAL-5189,Company_78,Contact_224,MQL,309721.19,82,Rep_14,2024-09-25,2024-05-28,Partner,Healthcare,76,253971.38
DEAL-5190,Company_92,Contact_113,Lead,159904.83,32,Rep_3,2024-09-05,2024-04-01,Event,Manufacturing,62,51169.55
DEAL-5191,Company_107,Contact_36,Negotiation,471051.28,20,Rep_6,2024-04-08,2024-10-23,Cold Call,Retail,44,94210.26
DEAL-5192,Company_28,Contact_116,Negotiation,351634.38,68,Rep_13,2024-10-19,2024-11-19,Event,Healthcare,87,239111.38
DEAL-5193,Company_12,Contact_228,MQL,136709.86,29,Rep_1,2024-08-27,2024-10-15,Partner,Logistics,55,39645.86
DEAL-5194,Company_133,Contact_286,Closed Lost,453723.82,42,Rep_13,2024-04-24,2024-03-27,Referral,Retail,44,190564.0
DEAL-5195,Company_35,Contact_63,SQL,175385.38,14,Rep_15,2024-09-26,2024-10-23,Email Campaign,Healthcare,83,24553.95
DEAL-5196,Company_106,Contact_106,Proposal,260524.58,78,Rep_2,2024-08-22,2025-05-07,Referral,Retail,41,203209.17
DEAL-5197,Company_156,Contact_263,Proposal,242215.31,20,Rep_3,2024-02-12,2024-03-16,Event,Manufacturing,38,48443.06
DEAL-5198,Company_43,Contact_94,Proposal,462197.28,41,Rep_11,2024-03-01,2025-03-13,Email Campaign,Manufacturing,35,189500.88
DEAL-5199,Company_76,Contact_74,Negotiation,136503.36,43,Rep_8,2024-04-28,2024-07-11,Event,Retail,20,58696.44
DEAL-5200,Company_195,Contact_249,Closed Lost,169986.84,9,Rep_15,2024-01-17,2024-04-06,Email Campaign,Finance,25,15298.82
DEAL-5201,Company_7,Contact_148,Negotiation,331779.29,78,Rep_9,2024-05-28,2024-03-25,Email Campaign,Retail,9,258787.85
DEAL-5202,Company_151,Contact_175,Closed Lost,443874.77,63,Rep_10,2024-06-17,2024-03-07,Website,Healthcare,65,279641.11
DEAL-5203,Company_34,Contact_146,Closed Won,61867.62,56,Rep_4,2024-10-11,2024-09-19,Partner,Logistics,53,34645.87
